feature,importance
h_dpc_HD,0.0
h_dpc_HE,0.0
h_dpc_HF,0.0
h_dpc_HG,0.0
h_dpc_HH,0.0
h_dpc_HI,0.0
h_dpc_HK,0.0
h_dpc_HL,0.0
h_dpc_HM,0.0
h_dpc_HN,0.0
h_dpc_HP,0.0
h_dpc_HQ,0.0
h_dpc_HR,0.0
h_dpc_HS,0.0
h_dpc_HT,0.0
h_dpc_HV,0.0
h_dpc_HW,0.0
h_dpc_HY,0.0
h_dpc_IA,0.0
h_dpc_IC,0.0
h_dpc_ID,0.0
h_dpc_IE,0.0
h_dpc_IF,0.0
h_dpc_IG,0.0
h_dpc_IH,0.0
h_dpc_II,0.0
h_dpc_IK,0.0
h_dpc_IL,0.0
h_dpc_IM,0.0
h_dpc_IN,0.0
h_dpc_IP,0.0
h_dpc_IQ,0.0
h_dpc_IS,0.0
h_dpc_IT,0.0
h_dpc_IV,0.0
h_dpc_IW,0.0
h_dpc_IY,0.0
h_dpc_KA,0.0
h_dpc_KC,0.0
h_dpc_KD,0.0
h_dpc_KE,0.0
h_dpc_KF,0.0
h_dpc_KG,0.0
h_dpc_KH,0.0
h_dpc_KI,0.0
h_dpc_KK,0.0
h_dpc_KL,0.0
h_dpc_KM,0.0
h_dpc_KN,0.0
h_dpc_KP,0.0
h_dpc_KQ,0.0
h_dpc_KS,0.0
h_dpc_KT,0.0
h_dpc_KW,0.0
h_dpc_KY,0.0
h_dpc_LC,0.0
h_dpc_LD,0.0
h_dpc_LE,0.0
h_dpc_LF,0.0
h_dpc_LG,0.0
h_dpc_LH,0.0
h_dpc_LI,0.0
h_dpc_LL,0.0
h_dpc_LM,0.0
h_dpc_LN,0.0
h_dpc_LP,0.0
h_dpc_LQ,0.0
h_dpc_LR,0.0
h_dpc_LS,0.0
h_dpc_YY,0.0
h_arom,0.0
h_dpc_LW,0.0
h_dpc_LY,0.0
v_dpc_CM,0.0
h_dpc_MD,0.0
h_dpc_ME,0.0
h_dpc_MF,0.0
h_dpc_MG,0.0
h_dpc_MH,0.0
h_dpc_MI,0.0
h_dpc_MK,0.0
h_dpc_ML,0.0
h_dpc_MM,0.0
h_dpc_MN,0.0
h_dpc_MP,0.0
h_dpc_MQ,0.0
h_dpc_MS,0.0
h_dpc_MT,0.0
h_dpc_MV,0.0
h_dpc_MW,0.0
h_dpc_MY,0.0
h_dpc_NA,0.0
h_dpc_NC,0.0
h_dpc_ND,0.0
